strategy_id,implementation_id,canonical_sha256,recovery_startup_candle_count,recovery_state,derivation_basis
Diamond,Diamond:98f108f9df8f,sha256_98f108f9df8f22b4b9be921b912ada3eff7669b25fc9ec455992ec902a385902,11,recovery_frozen,maximum shift 10 plus crossover predecessor
Strategy001,Strategy001:2357996e6594,sha256_2357996e6594458e8db45b5f757918462afa3c998de9d06e2af0c009ddc4b80d,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
Strategy001_custom_exit,Strategy001_custom_exit:d53ac16d0e81,sha256_d53ac16d0e81b755a19ea83c535f50a6dd0629c76087b822ae399fabeaa5e841,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
Strategy002,Strategy002:d1ca86a4ceb6,sha256_d1ca86a4ceb68ef828b35490ce1112330dad209cc3bb1e1b6c303c21ab3d8a90,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
Strategy003,Strategy003:055984b46727,sha256_055984b4672779b36a2391f790ccbcd320e408eb0634e34718d7182acaeef9c9,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
Strategy004,Strategy004:1b4c001e80b0,sha256_1b4c001e80b077aaf3ec227577c78d3283be549c7d25ce9279ea03f1db5de64a,5,recovery_frozen,canonical corpus static audit longest literal indicator period 5
Strategy005,Strategy005:797b293f5acd,sha256_797b293f5acd809f8c77f26b38c004c87b75d8847be4cde4d0224040cc591030,40,recovery_frozen,canonical corpus static audit longest literal indicator period 40
JuicyTrend,JuicyTrend:cd665b8c4972,sha256_cd665b8c497274fb1f403d1cf07b74bd8216d9bc296caad4708d36680cdbcd2d,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
AlwaysBuy,AlwaysBuy:220546dcb09d,sha256_220546dcb09d63d77859e4dbbd2a2b36eccd8d8f2d82b17baf2f30d9479de77e,1,startup_1_sufficient,row-local; no history dependency
BBRSI21,BBRSI21:906ff2c0fd9a,sha256_906ff2c0fd9ae2ab397afb80a4e201579a06ff7726f43b9412b305580882e714,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
BBRSI2,BBRSI2:58f6a2d72a76,sha256_58f6a2d72a769ef615f71f0af66d558a1397efd08ab60cabe2625f8e8e60482d,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
BBRSI3366,BBRSI3366:b03a199248ae,sha256_b03a199248ae5592b29e08fd7e02d0e774c4d5d14f61df0315d0e62deced9d51,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
BB_RPB_TSL_RNG_2,BB_RPB_TSL_RNG_2:ca91ce1da4c1,sha256_ca91ce1da4c1ea2e7a0d0419a89fcfae71f8c3b736479bc96f0eb50eaedf3723,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
BBlower,BBlower:ef24be71cd83,sha256_ef24be71cd83d2dede30f20e2bfd257b89ebb46a1ea97b1321245427ee66de5a,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
Chandem,Chandem:ea3340cf291f,sha256_ea3340cf291f0626a6064d5a5dd68dbc829fab5b6d26718e2ecd838f279c9072,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
Chandemtwo,Chandemtwo:1db6f2e33e51,sha256_1db6f2e33e51eba0155ef4903fe198aa716b36936fd87ed7c8771b59ccf34722,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
Cluc4,Cluc4:b1c9929b686d,sha256_b1c9929b686df7537b4d5763d0971a5d9d31088f62a7c785aa7886775077d6f5,168,recovery_frozen,canonical corpus static audit longest literal indicator period 168
CombinedBinHAndClucHyperV0,CombinedBinHAndClucHyperV0:1f9bfbc3e5ea,sha256_1f9bfbc3e5ead0693dc39113707711284f79561b7df5a03de00011c76bb9a4f3,91,recovery_frozen,loaded sell Bollinger 91 dominates loaded EMA 50 and rolling 30
CombinedBinHAndClucHyperV3,CombinedBinHAndClucHyperV3:82200df31c45,sha256_82200df31c45c2cb8b5c3ad3199c9d9cd0866d995374ba392cda4e752cdb88be,91,recovery_frozen,"loaded sell Bollinger 91 dominates loaded EMA 50, rolling 30, ATR 14"
Combined_Indicators,Combined_Indicators:39dc56f0be05,sha256_39dc56f0be05e4dbfacf08f203b6ad7baa9d8a06cbd1ed5f593799ef26657de9,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
DD,DD:e952577e6544,sha256_e952577e654404ec71a06f4bff0ebc20398bf1b8b03d8d35d8be43c692d31461,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
EMA520015_V17,EMA520015_V17:a39c1efc229c,sha256_a39c1efc229c6f937bfd289c517f466c6e2c147661aeabfe58c1f91a622f5e5d,350,recovery_frozen,canonical corpus static audit longest literal indicator period 350
GodCard,GodCard:e06d7d46985c,sha256_e06d7d46985c24a1965691ad4e755f96f257d5395087cc9639e4bcbd279fc350,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
KC_BB,KC_BB:0b4818db5d7a,sha256_0b4818db5d7ac7e165b67f426d130e416f090e39ea3d7026fc6c15ce1fd6b142,28,recovery_frozen,canonical corpus static audit longest literal indicator period 28
Maro4hMacdSd,Maro4hMacdSd:114c6ed905e4,sha256_114c6ed905e4d1a6ccbb6cece35ef72b74cc6579c57d79ccf96729c4214383c2,28,recovery_frozen,canonical corpus static audit longest literal indicator period 28
MomStrategy,MomStrategy:2da571c15eac,sha256_2da571c15eaccef45d6e365ba6b44e23f2e66a769a958b24dfb5ea8400ca40ec,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
ONUR,ONUR:9f8513da455c,sha256_9f8513da455c78b71e76581be1dfe41ed480cf174a0dc99303d213f1cf34d68e,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
RSI,RSI:acb5e51ca698,sha256_acb5e51ca6984f75e897ddda25986f841dbf591bd2b401a7d26c29d6cde0692b,14,recovery_frozen,canonical corpus static audit longest literal indicator period 14
Roth01,Roth01:b1564ed8157d,sha256_b1564ed8157dccb28dcd0acd5e11737d55e7776fe239afa566a9937519d698a2,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
Roth03,Roth03:8b36f446c9d8,sha256_8b36f446c9d8af0318baff5385dd10ba3405de71f1331fc6af3e4c7a7687d847,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
SlowPotato,SlowPotato:fc15e7ac4e79,sha256_fc15e7ac4e797207d14decaebf1d770155c29ac0819d90a4eb1fc45d197eec96,1440,recovery_frozen,literal rolling mean window 1440
Strategy001_custom_sell,Strategy001_custom_sell:a826f21cc567,sha256_a826f21cc567c5e11ef75aca97a4f186028051a0c8fd57c9ad2b0215239a77bd,100,recovery_frozen,canonical corpus static audit longest literal indicator period 100
StrategyScalpingFast2,StrategyScalpingFast2:2db927e231f9,sha256_2db927e231f91ec7a6c8b3286319b75f8ab40fe26487bd189711cc4dfe94456d,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
TemaMaster3,TemaMaster3:1381bf162ddf,sha256_1381bf162ddf6528df085ac697af8fe48034c173ad7a9a9a0bf10ed31989dc99,180,recovery_frozen,canonical corpus static audit longest literal indicator period 180
TemaMaster,TemaMaster:14b43e368f1f,sha256_14b43e368f1f886524492c57186899d70da7c99259f4a35047d711c9ec6ee0b8,26,recovery_frozen,canonical corpus static audit longest literal indicator period 26
TemaPureNeat,TemaPureNeat:c76e6d10166b,sha256_c76e6d10166b7c7002c01daae3b842602d8c5302aee287fb0dbbc0c25f62eb04,25,recovery_frozen,canonical corpus static audit longest literal indicator period 25
TemaPureTwo,TemaPureTwo:ba20c955f30b,sha256_ba20c955f30b6a78b86079c0d25da12f177ec065be94e406373682f24f64b7ee,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
TemaPure,TemaPure:266bf1f3434c,sha256_266bf1f3434cfaabc886bdb11833306b9a340224d008d925213522ca2fcf18d1,50,recovery_frozen,canonical corpus static audit longest literal indicator period 50
Trend_Strength_Directional,Trend_Strength_Directional:cc01382c7410,sha256_cc01382c741063baf476a2ebebca015ab457d105d4285855a497101c3e48a153,74,recovery_frozen,loaded DI 74 dominates ADX 41 and RSI 14
e6v34,e6v34:d5a9c0ddb19c,sha256_d5a9c0ddb19cc3434c2da014e5df462c7e1eb58e996ebec9b0e946f6e123aa4b,100,recovery_frozen,literal volume EMA 100 dominates HMA 35 and WILLR 12
ema,ema:3b862241b944,sha256_3b862241b94410164e74a70f69187e6bcfd11f28c5ad89fced3fb5819646405b,64,recovery_frozen,canonical corpus static audit longest literal indicator period 64
MabStra,MabStra:63fcdd4567ba,sha256_63fcdd4567ba1cd9f4312e8804316ee150df41e393e21dce168d3440b5e162c9,28,recovery_frozen,loaded slow SMA 28 dominates fast 14 and mojo 7
HourBasedStrategy_5m,HourBasedStrategy_5m:20e040454b10,sha256_20e040454b100d156d19ce35b633d36c8e7a554713e961d8e6aaeaaf72f014ae,1,startup_1_sufficient,row-local timestamp minute only
BollingerBandStrategy,BollingerBandStrategy:3e8442e9e3ec,sha256_3e8442e9e3ec032cb6813435451dd5a2602c56b77d5a02302685c37bfbbdbcfd,21,recovery_frozen,canonical corpus static audit longest literal indicator period 21
TouchEmaStrategy,TouchEmaStrategy:92446d7b27c0,sha256_92446d7b27c0aaaf848f987d73f5d2d322b8db0157f88e58f29cddfdfbbf076d,60,recovery_frozen,loaded EMA period 60 plus one-row decision shift
TouchEmaDelayStrategy,TouchEmaDelayStrategy:0aced2ab9432,sha256_0aced2ab943202ac70f496f22f37da9ea258a164c0e0a62f45d6db023b716665,50,recovery_frozen,loaded EMA period 50 plus one-row decision shift
Candle2,Candle2:34ea4c0954a2,sha256_34ea4c0954a2680beebb9dec767e2842d60385398b13b723e2240dffc0798341,6,recovery_frozen,canonical corpus static audit longest literal indicator period 6
FVGChannel,FVGChannel:379d24ac1c43,sha256_379d24ac1c430e1fd9d2afb3babde0eab2a0c4dfda1b4845dc390ddcca2f7334,,terminal_unbounded_prefix_dependency,iterative filtered_close and level state depend on the complete prefix
ForexRobootSuperScalper,ForexRobootSuperScalper:5c101cb77592,sha256_5c101cb77592a2126cf2143b4e55d48b5314f3a5476005b57e70bd3664ec8c33,,terminal_unbounded_prefix_dependency,OBV/direction are cumulative over the complete prefix
GKD_Baseline,GKD_Baseline:b2941c228640,sha256_b2941c2286406cbed4f0dfaca3fc67b2c9326e83a658c32b07a9646db583b721,20,recovery_frozen,active EMA baseline 20 dominates ATR 14
GKD_BaselineAllMAs,GKD_BaselineAllMAs:dff087dc468b,sha256_dff087dc468bdc6664fd0ae41cf91e26f7620aa7d70c693c8681f1467900d93a,20,recovery_frozen,active EMA baseline 20 dominates ATR 14
GKD_HurstExponent,GKD_HurstExponent:c169beca3ea5,sha256_c169beca3ea5e4b9b27e81344b62fee5df4308a772665b5d48f71b759f938f27,69,recovery_frozen,Hurst 64 over shifted returns plus EMA smoothing 5
GKD_PFE,GKD_PFE:74b9df4754e9,sha256_74b9df4754e95213f2735328799341c1720c3279fca9e50982462e0434b259e8,24,recovery_frozen,PFE 10 plus smoothing 5; baseline EMA 20 and ATR 14
HSI,HSI:968bdb813025,sha256_968bdb813025a96f6d32c1202dec696366452436f0a80911af8b8cef1f5eed34,,terminal_unbounded_prefix_dependency,Heikin-Ashi open is recursive over the complete prefix
HilbertSineWave,HilbertSineWave:7580e8750833,sha256_7580e8750833b04c282ae6e730f7292e228852ed013a3142e5ae2b59cf174e98,5,recovery_frozen,documented Hilbert smoothing period 5
OmaGann,OmaGann:aaffac4314de,sha256_aaffac4314decb5c5a84c12eb6d97140b8559bcf1d90e176d4a2a1b4eddd4840,10,recovery_frozen,loaded OMA length 10
TwoCandle,TwoCandle:461de9e30dbf,sha256_461de9e30dbfec9d93ec25c5fbbad201ff39e887eced6edbf942a6045f2940c4,80,recovery_frozen,canonical corpus static audit longest literal indicator period 80
BuyOrDie,BuyOrDie:aa771c3bd658,sha256_aa771c3bd6580c2b73fa2d98475a9e1104b97d5208cbf91282b8f1570a97debe,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
CCI_BB,CCI_BB:6368aeed4ade,sha256_6368aeed4ade63a6facb257a1adc2fb20a3452762761e6b0d05edfb1ec71986b,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
EasyInEasyOut,EasyInEasyOut:07e228cc77ef,sha256_07e228cc77effc9e80891d4bd5bd9b6a2f6a70845daa0db91f9e1d3933ee461a,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
RSI_BB,RSI_BB:a6b9af248ea0,sha256_a6b9af248ea093a49165f11b6cd25ad54a362eeb2ab13ed86ced748b000afea3,20,recovery_frozen,canonical corpus static audit longest literal indicator period 20
SmartMoneyStrategy,SmartMoneyStrategy:f89d1e0ec3dd,sha256_f89d1e0ec3dd685a6214d917e5d3beda8b003a44e8a528af6e3a70fe415944c3,200,recovery_frozen,canonical corpus static audit longest literal indicator period 200
RSI_EMA_strategy,RSI_EMA_strategy:14bbc9a9afab,sha256_14bbc9a9afabf070781eb9a4fe33e39fa545957ae6183a81991ed383ef58fe4f,14,recovery_frozen,canonical corpus static audit longest literal indicator period 14
bbandrsi,bbandrsi:da1704cb344a,sha256_da1704cb344a370f1aa6cd433d5c6e60e0a826c918fad886509a8ea2b4adaba4,20,recovery_frozen,literal Bollinger 20 dominates RSI 14
